std_no,department_no,class_code,class_name,period
06071048,071,MIM3540,Mimarlıkta Ölçek Ve Temsil Biçimleri,BAHAR DÖNEMİ
06071048,071,MIM3550,Mimarlıkta Kavramlarla Tasarım Düşüncesi,BAHAR DÖNEMİ
07071701,071,MIM4012,Mimari Tasarım 7,BAHAR DÖNEMİ
07071041,071,MIM4012,Mimari Tasarım 7,BAHAR DÖNEMİ
03071197,071,MIM4012,Mimari Tasarım 7,BAHAR DÖNEMİ
06071705,071,MIM4012,Mimari Tasarım 7,BAHAR DÖNEMİ
09071041,071,MIM4012,Mimari Tasarım 7,BAHAR DÖNEMİ
03071169,071,MIM4012,Mimari Tasarım 7,BAHAR DÖNEMİ
03071197,071,MIM4012,Mimari Tasarım 7,BAHAR DÖNEMİ
03071034,071,MIM4161,Konut Ve Kültürel Süreklilik,BAHAR DÖNEMİ
06052002,052,MTM3562,Adi Diferansiyel Denklemlerin Nümerik Çözümleri,BAHAR DÖNEMİ
09052034,052,MTM3562,Adi Diferansiyel Denklemlerin Nümerik Çözümleri,BAHAR DÖNEMİ
09052049,052,MTM3642,Mvc Tasarım Deseni İle İnternet Programlama,BAHAR DÖNEMİ
09052060,052,MTM3642,Mvc Tasarım Deseni İle İnternet Programlama,BAHAR DÖNEMİ
07052030,052,MTM4522,Fonksiyonel Analize Giriş,BAHAR DÖNEMİ
09052060,052,MTM4562,Mesleki Terminoloji,BAHAR DÖNEMİ
09052049,052,MTM4592,Bilişim Etiği,BAHAR DÖNEMİ
09052060,052,MTM4592,Bilişim Etiği,BAHAR DÖNEMİ
09052060,052,MTM4692,Uygulamalı Sql,BAHAR DÖNEMİ
03083017,083,MTP4252,Halk Müziği Bilgileri 2,BAHAR DÖNEMİ
04034007,034,SBU2572,Sanat Ve Siyaset,BAHAR DÖNEMİ
08034053,034,SBU2572,Sanat Ve Siyaset,BAHAR DÖNEMİ
08034053,034,SBU3124,Propaganda Ve Sosyal Medya,BAHAR DÖNEMİ
08034053,034,SBU4101,Avrupa Birliği Ve Türkiye,BAHAR DÖNEMİ
03083017,083,SYP1422,Sanatçı Hakları,BAHAR DÖNEMİ
05087007,087,SYP4492,Müze Mevzuatı,BAHAR DÖNEMİ
12011001,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
13011040,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
15011002,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
15011023,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
15011024,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
15011032,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
15011051,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
15011054,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
15011058,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
15011070,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
15011081,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
15011704,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
15011907,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011017,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011039,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011054,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011062,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011065,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011077,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011084,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011087,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011089,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011113,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011133,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011135,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011138,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011904,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
16011906,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011009,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011019,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011023,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011034,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011035,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011036,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011044,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011045,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011058,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011063,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011066,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011074,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011083,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011086,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011609,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011613,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011614,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011620,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011702,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011901,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
17011904,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
18011020,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
18011063,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
18011073,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
18011081,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
18011087,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
18011090,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
18011605,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
18011606,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
18011615,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
18011703,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
18011903,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
14011064,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
15011018,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
15011032,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
15011053,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
15011058,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
15011064,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
15011702,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011012,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011031,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011045,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011053,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011058,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011068,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011077,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011078,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011091,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011093,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011105,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011108,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011116,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011131,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011135,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011701,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
16011702,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
